,P1,P10,P11,P12,P13,P14,P20,P25,P19,P24,P28,P33,P38,P39,P37,P32,P34,P35,P36,P26,P15,P21,P22,P23,P27,P17,P16,P6,P7,P8,P18,P9,P5,P4,P3,P2,P29,P30,P31,P40,PUMP_1,PUMP_2,V2,V1,sum,percent,category
Flow (P38),1.95480583794415,1.3151768413372338,1.0053354045376182,0.7013902680482715,0.09170983047806658,0.039112591701268684,0.012954404333868297,0.042810031678527594,0.01349802595723304,0.1275469119718764,0.2942950447322801,0.017229012648385833,0.0,0.10952458769315854,0.15242946165381,0.04910198782454245,0.03923867337289266,0.03923856376786716,1.104761191417225e-07,0.12870405057785173,0.43941112188622355,0.1823154435842298,0.1607019355888042,0.06610199905844638,0.08597070028190501,0.11959570302860811,0.1182441576384008,0.04100097551418003,0.033753116615116596,0.02886269718874246,0.471293160924688,0.04919000150403008,0.04919000150403008,0.11068508960306644,0.15907541097840294,0.20021787355653942,0.017229029772352078,0.017229012651114317,0.0,35.941792607307434,9.98324829339981,27.913349866867065,0.0,0.0,82.32255983918822,100.07,CAT-1
Flow (P39),1.9548058714717627,1.3152459138073027,1.0055492972023785,0.7020450222771615,0.09330298512941226,0.039411619494785555,0.012757166045048507,0.04251100447436329,0.011592856018978637,0.13899556070100516,0.2823247737251222,0.07888763849041425,0.10952458769315854,0.0,0.06606299508712254,0.027849553589476272,0.01608055543329101,0.016080445930128917,1.0570363029316354e-07,0.12870405811204322,0.43931251764297485,0.18222296526073478,0.16041028186737094,0.06700982667098287,0.08406501611170825,0.11896325717680156,0.11804147181101143,0.04105881469149608,0.033944707553018816,0.029417838843073696,0.46979962033219635,0.050024159252643585,0.050024159252643585,0.11096410290338099,0.1591628342284821,0.2002474608598277,0.03063696807657834,0.030636946656159125,0.0,35.941792488098145,9.98324829339981,27.913349866867065,0.0,0.0,82.25606560794269,99.99,CAT-1
Flow (P37),1.9548058714717627,1.315107346046716,1.0051029953174293,0.7005606631282717,0.09303966513834894,0.03936350297590252,0.012783832476998214,0.04255912018561503,0.011874622190589434,0.13819550693733618,0.27928673091810197,0.07764911084086634,0.10704578558215871,0.0024874522042068747,0.0,0.09211303578922525,0.08462235063780099,0.0846222412365023,1.0615588164064604e-07,0.12870405638197974,0.4394882065244019,0.1823875927075278,0.16092674819083186,0.06459302999792271,0.08834332827245817,0.12009750149445608,0.11840062669944018,0.041007418651133776,0.033848513223347254,0.029425657114188652,0.4685707569587976,0.04984725607209839,0.04984725607209839,0.11077938094967976,0.15907431236701086,0.20021033426746726,0.029396694808383472,0.02939667392638512,0.0,35.941792488098145,9.98324829339981,27.913349866867065,0.0,0.0,82.38395593227834,100.14,CAT-1
Flow (P32),1.9548058658838272,1.3149380865506828,1.004572857171297,0.6988560166209936,0.0918949609331321,0.039128405463998206,0.012934069214679766,0.0427942183741834,0.013301542385306675,0.13106419349787757,0.28321916388813406,0.04317447530775098,0.06366049891221337,0.0458640872820979,0.13052009925013408,0.0,0.00410095305824143,0.004100949602616311,1.1226190332891406e-07,0.12870406030137382,0.4397083455696702,0.18257954213186167,0.1615479797601438,0.06184292591206031,0.09332154894946143,0.12146746157668531,0.11884076928254217,0.04092815308831632,0.03365308044885751,0.029116619763954077,0.46831984049640596,0.049212623242056,0.049212623242056,0.11045378824928775,0.15894414513604715,0.20015943504404277,0.020486046055339102,0.02048602490049234,0.0,35.941792488098145,9.98324829339981,27.913349866867065,0.0,0.0,82.20630621717474,99.93,CAT-1
Flow (P34),1.9548058286309242,1.315241347067058,1.0055404431186616,0.7020225476007909,0.09236171821248718,0.03922144036187092,0.012893801023892593,0.04270118396379985,0.012642544589652971,0.13214275540667586,0.29043133452069014,0.04106991793560155,0.06343008429394104,0.046094502598862164,0.1282380552147515,0.011598779852647567,0.0,1.108845293362748e-07,1.1261919041771762e-07,0.1287040463570024,0.4393253985326737,0.1822332908050157,0.16045892678084783,0.06697178913236712,0.08423523374949582,0.11907364032231271,0.118068469571881,0.041036127528059296,0.03384795867896173,0.02906295873981435,0.47107329149730504,0.04954144675866701,0.04954144675866701,0.11083627206971869,0.159131754480768,0.20023906254209578,0.022360187002050225,0.022360166192811448,0.0,35.941792607307434,9.98324829339981,27.913349866867065,0.0,0.0,82.21692874297085,99.94,CAT-1
Flow (P35),1.9548058342188597,1.3152413396164775,1.0055404570885003,0.7020225541200489,0.09236171812517568,0.03922144017269602,0.012893801191239618,0.042701183701865375,0.012642545407288708,0.13214275406789966,0.29043133195955306,0.04106990637774288,0.06343007128452882,0.04609451619035099,0.12823795538861305,0.011598885950661497,1.1043262326815295e-07,0.0,1.090412600213142e-07,0.1287040568410509,0.4393254208844155,0.182233288011048,0.16045892764850578,0.06697179006596343,0.0842352375475457,0.11907364008948207,0.11806847178377211,0.04103612697508652,0.03384795847523492,0.0290629588853335,0.47107328684069216,0.04954144638031721,0.04954144638031721,0.11083627218613401,0.15913175244349986,0.20023906172718853,0.02236018473195145,0.022360163893608842,0.0,35.941792607307434,9.98324829339981,27.913349866867065,0.0,0.0,82.21692877370084,99.94,CAT-1
Flow (P36),1.9548057178035378,1.3152122818864882,1.0054499953985214,0.7017300804145634,0.092270711902529,0.03920428294077283,0.012903360853670165,0.04271834190149093,0.012750123390105728,0.13168336037779227,0.290221314993687,0.0386944197343837,0.060449295880971476,0.049075289760367014,0.10471489821793512,0.03728741011582315,0.02650382893625647,0.02650382960564457,0.0,0.128704052834513,0.4393622784409672,0.1822641475009732,0.16055649854934018,0.0665113999048117,0.08505043154582381,0.11929839191725478,0.11814098316244781,0.041025019250810146,0.03382518271973822,0.029049830212898087,0.47088495665229857,0.04948655894258991,0.04948655894258991,0.11079451395198703,0.15911276917904615,0.20023119414690882,0.021754897868959233,0.021754876797785982,0.0,35.941792607307434,9.98324829339981,27.913349866867065,0.0,0.0,82.26786385421059,100.0,CAT-1
Flow (P26),1.8261017994955182,1.2943867733702064,0.9977118573151529,0.6965572803746909,0.09170326878665946,0.03911936029908247,0.01283605952266953,0.0428032645577332,0.013475289594225615,0.13206773047568277,0.2886471868259832,0.03937260249949759,0.0603994678822346,0.04912511832662858,0.10452551694470458,0.035224483741330914,0.026743153444840573,0.026743043286842294,1.1844054359499978e-07,0.0,0.3340840785531327,0.20265456981724128,0.1697489322978072,0.06986344544566236,0.08735268271993846,0.11615858372533694,0.10400009417207912,0.042078527505509555,0.034399672818835825,0.029477127478457987,0.46585229504853487,0.048941617147647776,0.048941617147647776,0.10982227398199029,0.15756604284979403,0.19763095199596137,0.021026886402978562,0.021026864742452744,0.0,36.04713702201843,9.979470819234848,27.893767833709717,0.0,0.0,81.95854531399823,99.62,CAT-1
Flow (P15),1.9548058398067951,1.7026909636333585,1.216436040122062,0.8564772377721965,0.10869034350616857,0.043634504021611065,0.014958966289214004,0.038290574479731276,0.014486871594272088,0.12258077278966084,0.33690906735137105,0.02114217751295655,0.06264964895672165,0.046874936640961096,0.11632065469166264,0.09114623098867014,0.017487543052993715,0.017487504694145173,1.0860586696637142e-07,0.1287040757110396,0.0,0.26013355515897274,0.08703059899926302,0.04682992064044811,0.050375272548990324,0.18627768522128463,0.3100086872000247,0.026218191560474224,0.023084803364326945,0.017247453251911793,0.6213205768726766,0.06314669476705603,0.06314669476705603,0.13656273658853024,0.19562136940658092,0.25211488583590835,0.042732074740342796,0.04273205526988022,1.7193950263560964e-08,35.941792488098145,9.98324829339981,27.913349866867065,0.0,0.0,83.17474798397416,101.1,CAT-1
Flow (P21),1.9548058360815048,1.4740623594261706,1.0743635115213692,0.7485232560429722,0.09711383923422545,0.04013910170033341,0.012335601797531126,0.04178352246526629,0.007988909124833299,0.1296681190142408,0.3039705285336822,0.03218559591914527,0.06097897206200287,0.04854561352112796,0.10649244504747912,0.05605045726406388,0.02419671735697193,0.02419660861050943,1.130383304737137e-07,0.12870405547006536,0.26013356156181544,0.0,0.07868744604638778,0.03199022656190209,0.06398027209797874,0.14597443933598697,0.2155931773595512,0.03350936478818767,0.02926951865083538,0.02523558014217997,0.5166492527350783,0.05397972108039539,0.05397972108039539,0.11910192674258724,0.1719758456456475,0.22060992033220828,0.029075945167278405,0.029075925078359433,0.0,35.941792607307434,9.98324829339981,27.913349866867065,0.0,0.0,82.28331777521291,100.02,CAT-1
