,J6,J7,J8,J9,J10,J1,J2,J3,J4,J13,J14,J15,J21,J22,J23,J16,J12,J24,J25,J5,J11,J17,J26,J27,J20,J18,J19,R1,T1,T2,sum,percent,category
Demand (Val_V2),0.0,0.1505963082308881,0.1505963082308881,0.10952458769315854,0.1150008158874698,0.08214344002772123,0.08214344002772123,0.09035778424004093,0.0,0.13690573745407164,0.12869139364920557,0.1150008158874698,0.09583401345298626,0.10952458769315854,0.0,0.05476229384657927,0.13142950413748622,0.0,0.0,0.0,0.0408509045955725,0.04107172001386061,0.08214344002772123,0.10952458769315854,0.12870400864630938,0.0,0.0,-2.6736022047698498,0.7187964410986751,0.0,-7.223570719361305e-08,205.3,CAT-1
Demand (Val_V1),0.0,0.1505963082308881,0.1505963082308881,0.10952458769315854,0.1150008158874698,0.08214344002772123,0.08214344002772123,0.09035778424004093,0.0,0.13690573745407164,0.12869139364920557,0.1150008158874698,0.09583401345298626,0.10952458769315854,0.0,0.05476229384657927,0.13142950413748622,0.0,0.0,0.0,0.0408509045955725,0.04107172001386061,0.08214344002772123,0.10952458769315854,0.12870400864630938,0.0,0.0,-2.4067936316132545,1.1112055930961873e-07,0.45198775129392743,-7.776330035458301e-08,221.01,CAT-1
Pressure (Val_V2),1034.6348457336426,1048.3691101074219,1047.328269958496,1012.4094047546387,985.3633308410645,1071.1549110412598,1054.916519165039,1039.0984191894531,993.2252807617188,1009.867244720459,993.2702598571777,992.9421424865723,954.1430892944336,939.2643280029297,1221.208740234375,970.0159492492676,1056.860969543457,936.2496910095215,922.2405548095703,949.5687828063965,954.7872848510742,954.7570571899414,954.1527976989746,942.7842636108398,881.4882583618164,916.6433906555176,899.1599082946777,0.0,193.437397480011,220.97997665405273,27150.3221783638,100.23,CAT-1
Pressure (Val_V1),1036.0937881469727,1050.1097793579102,1049.3027992248535,1014.5461883544922,987.4586181640625,1072.8957595825195,1056.8780822753906,1041.18803024292,995.317081451416,1011.6629905700684,995.5164070129395,995.2429428100586,957.0623970031738,941.8199119567871,1223.6718406677246,972.0937728881836,1058.3709869384766,941.80810546875,826.7699241638184,950.0490264892578,956.8750190734863,956.8376808166504,957.0195388793945,945.4799842834473,882.9982490539551,918.5636177062988,913.1293830871582,0.0,102.86998748779297,234.49695873260498,27046.128851890564,99.84,CAT-1
Head (Pip_P1),1158.710765838623,1158.7484321594238,1158.8883895874023,1159.1296920776367,1159.6307334899902,1158.7121849060059,1158.7870025634766,1158.9557037353516,1159.2173767089844,1158.6367301940918,1158.9235725402832,1159.3878173828125,1159.2956275939941,1159.3923225402832,1159.903434753418,1161.060749053955,1158.5495338439941,1159.3199882507324,1108.71000289917,1063.67972946167,1159.8915405273438,1160.3422927856445,1159.3686332702637,1159.413387298584,1158.4367866516113,1163.054786682129,1163.054817199707,0.0,1108.71000289917,1167.7603492736816,33437.67238616943,91.96,CAT-1
Head (Pip_P10),1229.4805183410645,1214.4456405639648,1214.3002586364746,1214.1660804748535,1214.0489768981934,1217.4505577087402,1214.8202514648438,1214.208911895752,1214.1469078063965,1216.4329071044922,1214.3027381896973,1214.0993843078613,1214.0564575195312,1214.0592155456543,1214.058349609375,1214.083309173584,1226.9961128234863,1214.0460510253906,1108.71000289917,1141.315601348877,1214.014762878418,1214.019100189209,1214.0251960754395,1213.9650802612305,1226.8833656311035,1214.11226272583,1201.6242065429688,1143.0000305175781,1108.71000289917,1201.6954383850098,36091.27767944336,99.26,CAT-1
Head (Pip_P11),1229.0491218566895,1228.6082000732422,1217.1074867248535,1217.0593147277832,1216.9908294677734,1225.6706657409668,1219.0511360168457,1217.461051940918,1217.2787780761719,1225.328800201416,1217.7163696289062,1217.0279083251953,1217.011833190918,1217.0010719299316,1216.9937477111816,1217.0013694763184,1228.046646118164,1216.9975891113281,1108.71000289917,1141.1639785766602,1216.9481048583984,1216.9489669799805,1216.9690589904785,1216.9051094055176,1227.9339065551758,1217.0087623596191,1203.1438446044922,1143.0000305175781,1108.71000289917,1203.1624374389648,36182.00612640381,99.51,CAT-1
Head (Pip_P12),1228.7967376708984,1227.9767761230469,1227.6529655456543,1222.9677085876465,1222.9399948120117,1227.5686073303223,1226.3319282531738,1223.7841339111328,1223.456932067871,1226.9186096191406,1224.7533416748047,1222.9675178527832,1223.0270729064941,1222.9581146240234,1222.9433784484863,1222.9408683776855,1228.1401710510254,1222.995994567871,1108.71000289917,1141.068588256836,1222.8933219909668,1222.8929634094238,1222.933879852295,1222.862735748291,1228.0274276733398,1222.9411849975586,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36301.08106613159,99.83,CAT-1
Head (Pip_P13),1228.796745300293,1227.8689727783203,1227.3065605163574,1227.0247230529785,1226.6548118591309,1227.7961883544922,1227.2468643188477,1226.947208404541,1226.8338623046875,1227.5491333007812,1226.9655075073242,1226.8476104736328,1226.77587890625,1226.7801704406738,1226.7636260986328,1226.7597618103027,1228.2762069702148,1226.765422821045,1108.71000289917,1141.068588256836,1226.6397819519043,1226.6573600769043,1226.7445068359375,1226.6779441833496,1228.1634712219238,1226.7602233886719,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36361.01124191284,100.0,CAT-1
Head (Pip_P14),1228.796745300293,1227.8680114746094,1227.3026542663574,1227.0123710632324,1226.8282928466797,1227.7976837158203,1227.2542915344238,1226.9783058166504,1226.920150756836,1227.5544357299805,1226.9828758239746,1226.871181488037,1226.8086624145508,1226.813793182373,1226.8074760437012,1226.8151817321777,1228.2774658203125,1226.798713684082,1108.71000289917,1141.068588256836,1226.5864906311035,1226.6446952819824,1226.778823852539,1226.716697692871,1228.1647300720215,1226.8142471313477,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36361.6026763916,100.0,CAT-1
